var_cod,description,portal,last_update
0014530,População residente em risco de pobreza (após transferências sociais) (N.º) por Local de residência (NUTS - 2013); Anual,Yes,2025-07-28
0014531,População residente em risco de pobreza ou exclusão social (Europa 2030) (N.º) por Local de residência (NUTS - 2013); Anual,Yes,2025-07-28
0012345,Proporção da população residente com 16 e mais anos de idade em risco de pobreza ou exclusão social (Europa 2030) (%) por Limitação na realização de atividades devido a problema de saúde; Anual,Yes,2025-07-28
0014528,População residente em risco de pobreza ou exclusão social (Europa 2030) (N.º) por Local de residência (NUTS - 2024); Anual,Yes,2025-07-28
0014529,População residente em risco de pobreza (após transferências sociais) (N.º) por Local de residência (NUTS - 2024); Anual,Yes,2025-07-28
0014352,Indicador de atividade económica (Série 1996 - Taxa de variação homóloga - %); Mensal,Yes,2025-07-23
0014514,Distribuição de pessoal ao serviço afeto exclusivamente a atividades TIC nas Câmaras Municipais (%) por Localização geográfica (NUTS - 2024) e Sexo; Anual,Yes,2025-07-18
0014527,População residente (N.º) por Local de residência (à data dos Censos 2011) e Escalão de dimensão populacional; Decenal,Yes,2025-07-17
0014525,População residente (N.º) por Local de residência (NUTS - 2013) e Escalão de dimensão populacional; Decenal,Yes,2025-07-17
0014526,População residente (N.º) por Local de residência (NUTS - 2024) e Escalão de dimensão populacional; Decenal,Yes,2025-07-17
0014506,Câmaras Municipais que efetuam Analítica de Dados (Data analytics) (N.º) por Localização geográfica (NUTS - 2024) e Fontes de dados utilizadas (Data analytics); Anual,Yes,2025-07-16
0014508,Distribuição de Câmaras Municipais que efetuam Analítica de Dados (Data analytics) (%) por Localização geográfica (NUTS - 2024) e Fontes de dados utilizadas (Data analytics); Anual,Yes,2025-07-16
0014524,Valor médio das pensões da segurança social (Série 2017 - €/ N.º) por Tipo de pensão; Anual,Yes,2025-07-16
0014523,Pensões da segurança social (Série 2017 - €) por Tipo de pensão; Anual,Yes,2025-07-16
0014507,Proporção de Câmaras Municipais que efetuam Analítica de Dados (Data analytics) (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-16
0013539,Câmaras Municipais que utilizam tecnologias ou sistemas interconectados no âmbito das Cidades Inteligentes (N.º) por Localização geográfica (NUTS - 2024) e Finalidade de utilização da tecnologia; Anual,Yes,2025-07-16
0013540,Proporção de Câmaras Municipais que utilizam tecnologias ou sistemas interconectados no âmbito das Cidades Inteligentes (%) por Localização geográfica (NUTS - 2024) e Finalidade de utilização da tecnologia; Anual,Yes,2025-07-16
0014522,Pensionistas da segurança social (Série 2017 - N.º) por Tipo de pensão; Anual,Yes,2025-07-16
0014520,Produção de eletricidade a partir de energias renováveis (GWh) por Tipo de energia renovável; Anual,Yes,2025-07-15
0014521,Câmaras Municipais que disponibilizam o preenchimento e submissão de formulários na internet (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-15
0014519,Capacidade instalada de energias renováveis (MW) por Tipo de energia renovável; Anual,Yes,2025-07-15
0013440,Tempo de acesso a pé da população residente ao corpo de bombeiros mais próximo (min) por Localização geográfica (NUTS - 2024) e Quartis; Anual,Yes,2025-07-11
0013435,Tempo de acesso a pé da população residente entre os 18 e 22 anos ao estabelecimento de ensino superior mais próximo (min) por Localização geográfica (NUTS - 2024) e Quartis; Anual,Yes,2025-07-11
0013433,Tempo de acesso a pé da população residente com 18 ou mais anos ao estabelecimento de ensino superior mais próximo (min) por Localização geográfica (NUTS - 2024) e Quartis; Anual,Yes,2025-07-11
0013442,Tempo de acesso a pé da população residente ao museu mais próximo (min) por Localização geográfica (NUTS - 2024) e Quartis; Anual,Yes,2025-07-11
0003077,Índice de preços dos meios de produção na agricultura (Taxa de variação homóloga - Base 2005 - %) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0014465,Índice de preços dos meios de produção na agricultura (Taxa de variação mensal - Base 2020 - %) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0000875,Índice de preços dos meios de produção na agricultura (Taxa de variação média anual - Base 2000 - %) por Localização geográfica (Continente) e Meio de produção na agricultura; Mensal,Yes,2025-07-10
0000873,Índice de preços de produtos agrícolas no produtor (Taxa de variação mensal - Base 2000 - %) por Localização geográfica (Continente) e Produto agrícola; Mensal,Yes,2025-07-10
0000872,Índice de preços de produtos agrícolas no produtor (Taxa de variação homóloga - Base 2000 - %) por Localização geográfica (Continente) e Produto agrícola; Mensal,Yes,2025-07-10
0000871,Índice de preços de produtos agrícolas no produtor (Taxa de variação média anual - Base 2000 - %) por Localização geográfica (Continente) e Produto agrícola; Mensal,Yes,2025-07-10
0000874,Índice de preços dos meios de produção na agricultura (Base - 2000) por Localização geográfica (Continente) e Meio de produção na agricultura; Mensal,Yes,2025-07-10
0000870,Índice de preços de produtos agrícolas no produtor (Base - 2000) por Localização geográfica (Continente) e Produto agrícola; Mensal,Yes,2025-07-10
0014464,Índice de preços dos meios de produção na agricultura (Taxa de variação homóloga - Base 2020 - %) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0003078,Índice de preços dos meios de produção na agricultura (Taxa de variação mensal - Base 2005 - %) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0014463,Índice de preços dos meios de produção na agricultura (Base - 2020) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0014462,Índice de preços dos meios de produção na agricultura (Base - 2020) por Meio de produção na agricultura; Anual,Yes,2025-07-10
0014468,Índice de preços de produtos agrícolas no produtor (Taxa de variação mensal - Base 2020 - %) por Produto agrícola; Mensal,Yes,2025-07-10
0014467,Índice de preços de produtos agrícolas no produtor (Taxa de variação homóloga - Base 2020 - %) por Produto agrícola; Mensal,Yes,2025-07-10
0014466,Índice de preços de produtos agrícolas no produtor (Base - 2020) por Produto agrícola; Mensal,Yes,2025-07-10
0014461,Índice de preços de produtos agrícolas no produtor (Base - 2020) por Produto agrícola; Anual,Yes,2025-07-10
0000876,Índice de preços dos meios de produção na agricultura (Taxa de variação homóloga - Base 2000 - %) por Localização geográfica (Continente) e Meio de produção na agricultura; Mensal,Yes,2025-07-10
0000877,Índice de preços dos meios de produção na agricultura (Taxa de variação mensal - Base 2000 - %) por Localização geográfica (Continente) e Meio de produção na agricultura; Mensal,Yes,2025-07-10
0002710,Índice de preços de produtos agrícolas no produtor (Base - 2005) por Produto agrícola; Mensal,Yes,2025-07-10
0003076,Índice de preços dos meios de produção na agricultura (Taxa de variação média anual - Base 2005 - %) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0002712,Índice de preços de produtos agrícolas no produtor (Taxa de variação homóloga - Base 2005 - %) por Produto agrícola; Mensal,Yes,2025-07-10
0003075,Índice de preços dos meios de produção na agricultura (Base - 2005) por Meio de produção na agricultura; Mensal,Yes,2025-07-10
0002711,Índice de preços de produtos agrícolas no produtor (Taxa de variação média anual - Base 2005 - %) por Produto agrícola; Mensal,Yes,2025-07-10
0002713,Índice de preços de produtos agrícolas no produtor (Taxa de variação mensal - Base 2005 - %) por Produto agrícola; Mensal,Yes,2025-07-10
0014501,Câmaras Municipais com medidas de cibersegurança implementadas (N.º) por Localização geográfica (NUTS - 2024) e Tipo de medida de segurança (TIC); Anual,Yes,2025-07-09
0014518,Proporção de Câmaras Municipais que desenvolvem soluções com Código Aberto passiveis de reutilização e partilha com outros organismos públicos (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014517,Câmaras Municipais que desenvolvem soluções com Código Aberto passiveis de reutilização e partilha com outros organismos públicos (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014516,Proporção de Câmaras Municipais com elevada necessidade de reforço de competências TIC (%) por Localização geográfica (NUTS - 2024) e Área de competências TIC; Anual,Yes,2025-07-09
0014515,Câmaras Municipais com elevada necessidade de reforço de competências TIC (N.º) por Localização geográfica (NUTS - 2024) e Área de competências TIC; Anual,Yes,2025-07-09
0014512,Proporção de Câmaras Municipais que consideram o impacto ambiental na escolha de serviços e equipamentos TIC (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014511,Câmaras Municipais que consideram o impacto ambiental na escolha de serviços e equipamentos TIC (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014510,Proporção de Câmaras Municipais que aplicam medidas que reduzem o consumo de energia dos equipamentos TIC (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014509,Câmaras Municipais que aplicam medidas que reduzem o consumo de energia dos equipamentos TIC (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014502,Proporção de Câmaras Municipais com medidas de cibersegurança implementadas (%) por Localização geográfica (NUTS - 2024) e Tipo de medida de segurança (TIC); Anual,Yes,2025-07-09
0014505,Distribuição de Câmaras Municipais com estratégia definida para a cibersegurança (%) por Localização geográfica (NUTS - 2024) e Tipo de conformidade com o RJSC; Anual,Yes,2025-07-09
0014503,Câmaras Municipais com estratégia definida para a cibersegurança (N.º) por Localização geográfica (NUTS - 2024) e Tipo de conformidade com o RJSC; Anual,Yes,2025-07-09
0014513,Pessoal ao serviço afeto exclusivamente a atividades TIC nas Câmaras Municipais (N.º) por Localização geográfica (NUTS - 2024) e Sexo; Anual,Yes,2025-07-09
0014504,Proporção de Câmaras Municipais com estratégia definida para a cibersegurança (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014487,Câmaras Municipais que utilizam tecnologias de Inteligência Artificial (IA) (N.º) por Localização geográfica (NUTS - 2024) e Tipo de tecnologia de Inteligência Artificial; Anual,Yes,2025-07-09
0014493,Câmaras Municipais que utilizam a plataforma de interoperabilidade da Administração Pública (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014486,Distribuição de Câmaras Municipais que compram serviços de computação em nuvem (cloud computing) (%) por Localização geográfica (NUTS - 2024) e Tipo de serviço de computação em nuvem; Anual,Yes,2025-07-09
0014485,Proporção de Câmaras Municipais que compram serviços de computação em nuvem (cloud computing) (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014484,Câmaras Municipais que compram serviços de computação em nuvem (cloud computing) (N.º) por Localização geográfica (NUTS - 2024) e Tipo de serviço de computação em nuvem; Anual,Yes,2025-07-09
0014489,Distribuição de Câmaras Municipais que utilizam tecnologias de Inteligência Artificial (IA) (%) por Localização geográfica (NUTS - 2024) e Tipo de tecnologia de Inteligência Artificial; Anual,Yes,2025-07-09
0014491,Proporção de Câmaras Municipais que utilizam dispositivos ou sistemas interconectados que podem ser monitorizados ou controlados remotamente através da Internet (Internet das Coisas) (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014492,Distribuição de Câmaras Municipais que utilizam dispositivos ou sistemas interconectados que podem ser monitorizados ou controlados remotamente através da Internet (Internet das Coisas) (%) por Localização geográfica (NUTS - 2024) e Finalidade da utilização da Internet das Coisas; Anual,Yes,2025-07-09
0014490,Câmaras Municipais que utilizam dispositivos ou sistemas interconectados que podem ser monitorizados ou controlados remotamente através da Internet (Internet das Coisas) (N.º) por Localização geográfica (NUTS - 2024) e Finalidade da utilização da Internet das Coisas; Anual,Yes,2025-07-09
0014494,Proporção de Câmaras Municipais que utilizaram a plataforma de interoperabilidade da Administração Pública (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014495,Câmaras Municipais que disponibilizam estações de trabalho virtuais ou a partir de casa (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014500,Proporção de Câmaras Municipais que disponibilizam aplicações móveis ao utente (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014499,Câmaras Municipais que disponibilizam aplicações móveis ao utente (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014498,Proporção de Câmaras Municipais que disponibilizam meios de autenticação eletrónica em websites ou sistemas informáticos (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014488,Proporção de Câmaras Municipais que utilizam tecnologias de Inteligência Artificial (IA) (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014497,Câmaras Municipais que disponibilizam meios de autenticação eletrónica em websites ou sistemas informáticos (N.º) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0014496,Proporção de Câmaras Municipais que disponibilizam estações de trabalho virtuais ou a partir de casa (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-09
0004325,Pensionistas da segurança social em 31 dezembro (N.º) por Tipo de pensão; Anual,Yes,2025-07-08
0004346,Pensões da segurança social em 31 dezembro (€) por Tipo de pensão; Anual,Yes,2025-07-08
0013232,"Doações alimentares recebidas pelos Bancos Alimentares (t) por Localização geográfica (NUTS - 2024), Origem das doações e Tipo de produto (doações alimentares); Anual",Yes,2025-07-07
0011467,"Doações alimentares recebidas pelos Bancos Alimentares (t) por Localização geográfica (NUTS - 2013), Origem das doações e Tipo de produto (doações alimentares); Anual",Yes,2025-07-07
0011390,"Proporção da população desempregada à procura de novo emprego que recebe subsídio de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024), Sexo e Grupo etário; Anual",Yes,2025-07-03
0011389,Proporção da população empregada na indústria transformadora (Série 2021 - %) por Local de residência (NUTS - 2024); Anual,Yes,2025-07-03
0011388,Proporção da população empregada com cargos de chefia (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Anual,Yes,2025-07-03
0002723,Produtos produzidos na indústria por Tipo de produto (CAE Rev. 3); Anual,Yes,2025-07-03
0002724,Produtos vendidos na indústria por Tipo de produto (CAE Rev. 3); Anual,Yes,2025-07-03
0002725,Produtos vendidos (€) da indústria por Tipo de produto (CAE Rev. 3); Anual,Yes,2025-07-03
0014483,Superfície ardida média (ha) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-07-02
0014482,Índice de preços na produção de serviços (taxa de variação média anual - Base 2021 - %) por Atividade económica (Divisão - CAE Rev. 3); Trimestral,Yes,2025-07-01
0014479,Índice de preços na produção de serviços (IPPS - Base 2021) por Atividade económica (Divisão - CAE Rev. 3); Trimestral,Yes,2025-07-01
0014480,Índice de preços na produção de serviços (taxa de variação trimestral - Base 2021 - %) por Atividade económica (Divisão - CAE Rev. 3); Trimestral,Yes,2025-07-01
0014481,Índice de preços na produção de serviços (taxa de variação homóloga - Base 2021 - %) por Atividade económica (Divisão - CAE Rev. 3); Trimestral,Yes,2025-07-01
0014477,Peso limpo de aves e coelhos abatidos e aprovados para consumo (t)  por Localização geográfica (NUTS - 2024) e Categoria (aves e coelhos abatidos); Anual,Yes,2025-06-30
0014476,Aves e coelhos abatidos e aprovados para consumo (N.º) por Localização geográfica (NUTS - 2024) e Categoria (aves e coelhos abatidos); Anual,Yes,2025-06-30
0014473,Carga mediana das despesas em habitação (%) por Local de residência (NUTS - 2024) e Tipologia de áreas urbanas; Anual,Yes,2025-06-30
0014475,Taxa de privação severa das condições da habitação (%) por Local de residência (NUTS - 2024) e Tipologia de áreas urbanas; Anual,Yes,2025-06-30
0014478,Peso médio de aves e coelhos abatidos e aprovados para consumo (kg/ cabeça) por Localização geográfica (NUTS - 2024) e Categoria (aves e coelhos abatidos); Anual,Yes,2025-06-30
0014472,Taxa de sobrecarga das despesas em habitação (%) por Local de residência (NUTS - 2024) e Tipologia de áreas urbanas; Anual,Yes,2025-06-30
0014474,Taxa de sobrelotação da habitação (%) por Local de residência (NUTS - 2024) e Tipologia de áreas urbanas; Anual,Yes,2025-06-30
0014471,Ofertas de emprego em centros de emprego do IEFP (movimento ao longo do mês - N.º); Mensal,Yes,2025-06-30
0014470,Desempregados inscritos em centros de emprego do IEFP (movimento ao longo do mês - N.º); Mensal,Yes,2025-06-30
0014469,"Taxa de mortalidade por lesões autoprovocadas intencionalmente (suicídio) por 100 000 habitantes (N.º) por Local de residência (NUTS - 2024), Sexo e Grupo etário; Anual",Yes,2025-06-20
0012863,Período de internamento (Dia) nos hospitais por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-16
0012892,Taxa de ocupação das camas nos hospitais (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-16
0001432,Indivíduos eleitos para a Assembleia da República (N.º) por Sexo e Partidos políticos; Não periódica,Yes,2025-06-09
0011826,Taxa de prevalência da insegurança alimentar moderada ou grave (%) da população residente; Anual,Yes,2025-06-09
0014458,Vendas de combustíveis líquidos e gasosos (t) das empresas por Localização geográfica (NUTS - 2024) e Tipo de combustível; Anual,Yes,2025-06-06
0014459,Consumo de combustível automóvel por habitante (tep/ hab.) por Local de residência (NUTS - 2024); Anual,Yes,2025-06-06
0014460,Produção bruta de eletricidade (kWh) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-06
0014455,Índice sintético de desenvolvimento regional (Competitividade) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-04
0014456,Índice sintético de desenvolvimento regional (Coesão) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-04
0014457,Índice sintético de desenvolvimento regional (Qualidade ambiental) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-04
0014454,Índice sintético de desenvolvimento regional (Índice global) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-06-04
0014452,Distribuição da população residente com 16 e mais anos de idade que não utilizou transportes públicos com frequência (%) por Motivo principal para não ter utilizado transportes públicos com mais frequência; Sexenal,Yes,2025-06-03
0014453,Distribuição dos agregados domésticos privados que utilizaram transportes públicos (%) por Avaliação do encargo com transportes públicos e Condição de pobreza; Sexenal,Yes,2025-06-03
0014450,"Distribuição da população residente com 16 e mais anos de idade (%) por Sexo, Grupo etário e Frequência de utilização de transportes públicos; Sexenal",Yes,2025-06-03
0014451,"Proporção da população residente com 16 e mais anos de idade que nunca, ou quase nunca, utilizou transportes públicos (%) por Tipologia de áreas urbanas e Condição de pobreza; Sexenal",Yes,2025-06-03
0014432,Taxa de privação material e social da população residente com menos de 16 anos (%); Trienal,Yes,2025-06-02
0014434,Proporção da população residente com menos de 16 anos de idade com necessidade de consulta médica não concretizada (exceto medicina dentária) (%); Trienal,Yes,2025-06-02
0014437,Distribuição da população residente com menos de 16 anos de idade (%) por Sexo e Limitação na realização de atividades consideradas habituais para a idade; Trienal,Yes,2025-06-02
0014441,Proporção das crianças até aos 12 anos de idade com necessidade de cuidados formais de acompanhamento não satisfeita (%); Sexenal,Yes,2025-06-02
0014442,Distribuição das crianças até aos 12 anos de idade com necessidade de cuidados formais de acompanhamento não satisfeita (%) por Motivo principal da não satisfação; Sexenal,Yes,2025-06-02
0014449,Empresas (N.º) por Localização geográfica (NUTS - 2024) e Atividade económica (Divisão - CAE Rev. 3); Anual,Yes,2025-06-02
0014435,Proporção da população residente com menos de 16 anos de idade com necessidade de consulta com dentista não concretizada (%); Trienal,Yes,2025-06-02
0014436,Distribuição da população residente com menos de 16 anos de idade (%) por Sexo e Autoapreciação do estado de saúde; Trienal,Yes,2025-06-02
0014433,Taxa de privação material e social severa da população residente com menos de 16 anos (%); Trienal,Yes,2025-06-02
0014444,Preço do petróleo Brent (Taxa de variação homóloga - %); Mensal,Yes,2025-05-30
0014443,Preço do petróleo Brent (€/ barril); Mensal,Yes,2025-05-30
0014448,Consumo de eletricidade corrigido de dias úteis e temperatura (Taxa de variação homóloga - %); Mensal,Yes,2025-05-30
0014447,Consumo de eletricidade corrigido de dias úteis e temperatura (GWh); Mensal,Yes,2025-05-30
0014445,Vendas de combustíveis no mercado interno (t) por Tipo de combustível; Mensal,Yes,2025-05-30
0014446,Vendas de combustíveis no mercado interno (Taxa de variação homóloga - %) por Tipo de combustível; Mensal,Yes,2025-05-30
0014438,Proporção das crianças até aos 12 anos de idade que recebiam cuidados formais de acompanhamento (%) por Grupo etário e Modalidade de pagamento; Sexenal,Yes,2025-05-29
0014440,Proporção das crianças até aos 12 anos de idade que recebiam cuidados formais de acompanhamento (%) por Condição de pobreza e Modalidade de pagamento; Sexenal,Yes,2025-05-29
0014439,Proporção das crianças até aos 12 anos de idade que recebiam cuidados formais de acompanhamento (%) por Tipologia de áreas urbanas e Modalidade de pagamento; Sexenal,Yes,2025-05-29
0014427,Carga mediana das despesas em habitação (%) por Grupo etário; Anual,Yes,2025-05-28
0014428,Taxa de sobrecarga das despesas em habitação (%) por Grupo etário; Anual,Yes,2025-05-28
0014429,Taxa de sobrelotação da habitação (%) por Grupo etário; Anual,Yes,2025-05-28
0014430,Taxa de privação severa das condições da habitação (%) por Grupo etário; Anual,Yes,2025-05-28
0014431,Proporção de superfície das áreas classificadas (%) por Localização geográfica (NUTS - 2024); Anual,Yes,2025-05-28
0001192,Perspetivas sobre o volume de exportações nos próximos 3 meses (Saldo de respostas extremas) da indústria transformadora por Tipo de bens; Trimestral,Yes,2025-05-27
0001265,Obstáculos mais importantes à atividade (Série 2015 - %) dos serviços por Obstáculos à atividade e Atividade económica (Secção - CAE Rev. 3); Trimestral,Yes,2025-05-27
0001220,Perspetivas sobre o volume de vendas nos próximos 3 meses (Saldo de respostas extremas) do comércio por Tipo de comércio; Trimestral,Yes,2025-05-27
0001189,Apreciação sobre os preços das matérias-primas nos últimos 3 meses (Saldo de respostas extremas) da Indústria transformadora por Tipo de bens; Trimestral,Yes,2025-05-27
0001205,Apreciação sobre a evolução do volume de vendas face ao mês anterior (SRE - Valores corrigidos de sazonalidade) dos serviços; Mensal,Yes,2025-05-27
0001221,Apreciação sobre volume de vendas (Saldo de respostas extremas) do Comércio por Tipo de comércio; Trimestral,Yes,2025-05-27
0001194,Tempo aproximado de produção assegurada (Semana) da indústria transformadora por Tipo de bens; Trimestral,Yes,2025-05-27
0001196,Obstáculos mais importantes à produção (Série 2015 - %) da indústria transformadora por Tipo de bens e Obstáculos à produção; Trimestral,Yes,2025-05-27
0001209,Apreciação sobre o emprego nos últimos 3 meses (SRE - Valores corrigidos de sazonalidade) dos serviços; Mensal,Yes,2025-05-27
0001206,Apreciação sobre a evolução do volume de vendas face ao mês anterior (Saldo de respostas extremas) dos serviços por Atividade económica (Secção - CAE Rev. 3); Mensal,Yes,2025-05-27
0001210,Apreciação sobre o emprego nos últimos 3 meses (Saldo de respostas extremas) dos serviços por Atividade económica (Secção - CAE Rev. 3); Mensal,Yes,2025-05-27
0001157,Apreciação sobre a atividade (Saldo de respostas extremas) do comércio por Tipo de comércio; Mensal,Yes,2025-05-27
0001158,Apreciação sobre os preços de venda face ao mês anterior (SRE - Valores corrigidos de sazonalidade) do Comércio por Tipo de comércio; Mensal,Yes,2025-05-27
0001159,Apreciação sobre os preços de venda face ao mês anterior (Saldo de respostas extremas) do Comércio por Tipo de comércio; Mensal,Yes,2025-05-27
0001268,Apreciação sobre o volume de vendas nos últimos 3 meses (Saldo de respostas extremas) dos Serviços por Atividade económica (Secção - CAE Rev. 3); Trimestral,Yes,2025-05-27
0001266,Obstáculos à atividade (Série 2015 - %) dos serviços por Obstáculos à atividade e Atividade económica (Secção - CAE Rev. 3); Trimestral,Yes,2025-05-27
0012229,Valor mediano das vendas de alojamentos familiares nos últimos 12 meses (Metodologia 2022 - €/ m²) por Localização geográfica (NUTS 2024 - Cidades com mais de 100 000 habitantes) e Tipologia do fogo; Trimestral,Yes,2025-05-26
0012228,Valor mediano das vendas de alojamentos familiares em apartamentos nos últimos 12 meses (Metodologia 2022 - €/ m²) por Localização geográfica (NUTS - 2024 - Cidade); Trimestral,Yes,2025-05-26
0012227,Valor mediano das vendas de alojamentos familiares nos últimos 12 meses (Metodologia 2022 - €/ m²) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar; Trimestral,Yes,2025-05-26
