theme,subtheme,varcd,title,last_update,geo_lastlevel,last_period_available,periodicity,update_type
Conjuntura,Oferta de bens e serviços,0000134,Índice de novas encomendas na indústria - bruto (Base - 2000),06-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000135,Índice de volume de negócios na indústria no mercado interno - bruto (Base - 2000),12-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000136,Índice de volume de negócios na indústria no mercado externo - bruto (Base - 2000),12-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000137,Índice de novas encomendas na indústria no mercado interno - bruto (Base - 2000),06-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000138,Índice de novas encomendas na indústria no mercado externo - bruto (Base - 2000),06-02-2009,Portugal,S3A200812,Mensal,D
Empresas,Seguros e resseguros,0000139,Estabelecimentos de empresas de seguros (N.º),31-12-2014,Município,S7A2013,Anual,D
Empresas,Seguros e resseguros,0000140,Pessoal ao serviço (N.º) nos estabelecimentos de empresas de seguros,31-12-2014,Município,S7A2013,Anual,D
Empresas,Seguros e resseguros,0000141,Custos com o pessoal (€) nos estabelecimentos de empresas de seguros,31-12-2014,Município,S7A2013,Anual,D
Empresas,Seguros e resseguros,0000142,Prémios brutos emitidos (€) pelos estabelecimentos de empresas de seguros,31-12-2014,Município,S7A2013,Anual,D
Conjuntura,Oferta de bens e serviços,0000143,Índice de volume de negócios nos serviços - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000144,Índice de remunerações nos serviços - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000145,Índice de emprego nos serviços - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000146,Índice de horas trabalhadas nos serviços - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000147,Indicador de confiança (Saldo de respostas extremas) da Construção,28-11-2024,Portugal,S3A202411,Mensal,A
Conjuntura,Oferta de bens e serviços,0000148,Apreciação sobre a atividade nos últimos 3 meses (Saldo de respostas extremas) da construção,28-11-2024,Portugal,S3A202411,Mensal,A
Conjuntura,Oferta de bens e serviços,0000149,Apreciação sobre a carteira de encomendas (Saldo de respostas extremas) da construção,28-11-2024,Portugal,S3A202411,Mensal,A
Conjuntura,Oferta de bens e serviços,0000150,Perspetivas sobre o emprego nos próximos 3 meses (Saldo de respostas extremas) da construção,28-11-2024,Portugal,S3A202411,Mensal,A
Conjuntura,Oferta de bens e serviços,0000151,Perspetivas sobre os preços de venda nos próximos 3 meses (Saldo de respostas extremas) na construção,28-11-2024,Portugal,S3A202411,Mensal,A
Conjuntura,Oferta de bens e serviços,0000152,Perspetivas sobre a atividade nos próximos 3 meses (Saldo de respostas extremas) da construção,30-10-2024,Portugal,S5A20243,Trimestral,D
Conjuntura,Oferta de bens e serviços,0000153,Capacidade produtiva (%) da construção,30-10-2024,Portugal,S5A20243,Trimestral,D
Conjuntura,Oferta de bens e serviços,0000154,Perspetivas sobre o volume de vendas nos próximos 3 meses (Saldo de respostas extremas) da construção,30-10-2024,Portugal,S5A20243,Trimestral,D
Conjuntura,Oferta de bens e serviços,0000155,Tempo aproximado de produção assegurada (Mês) da construção,30-10-2024,Portugal,S5A20243,Trimestral,D
Conjuntura,Oferta de bens e serviços,0000156,Obstáculos à atividade (%) da construção,28-10-2021,Portugal,S3A202110,Mensal,D
Ambiente,Protecção do ambiente,0000157,Custos e perdas (Série 2004-2007 - €) das Empresas,30-04-2009,NUTS II,S7A2007,Anual,D
Ambiente,Protecção do ambiente,0000158,Custos e perdas (Série 2004-2007 - €) das Empresas,30-04-2009,NUTS II,S7A2007,Anual,D
Ambiente,Protecção do ambiente,0000159,Investimentos (Série 2004-2007 - €) das empresas com atividade de gestão e proteção do ambiente,30-04-2009,NUTS II,S7A2007,Anual,D
Ambiente,Protecção do ambiente,0000160,Empresas que realizaram atividades de proteção ambiental (Série 2004-2007 - %),26-05-2009,NUTS II,S7A2007,Anual,D
Ambiente,Protecção do ambiente,0000161,Emprego equivalente a tempo completo em atividades de ambiente (Série 2004-2007 - N.º),26-05-2009,NUTS II,S7A2007,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000162,Consumo humano de frutos (t),23-04-2024,Portugal,7A2023_1,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000163,Consumo humano de frutos per capita (kg/ hab.),23-04-2024,Portugal,7A2023_1,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000164,Grau de autoaprovisionamento de frutos (%),23-04-2024,Portugal,7A2023_1,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000165,Consumo humano de frutos (t),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000166,Consumo humano de frutos per capita (kg/ hab.),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000167,Grau de autoaprovisionamento de frutos (%),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000168,Consumo humano de sementes e frutos oleaginosos (t),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000169,Consumo humano de sementes e frutos oleaginosos per capita (kg/ hab.),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000170,Grau de auto-aprovisionamento de sementes e frutos oleaginosos (%),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000171,Consumo humano de gorduras e óleos vegetais brutos (t),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000172,Consumo humano de gorduras e óleos vegetais brutos per capita (kg/ hab.),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000173,Grau de autoaprovisionamento de gorduras e óleos vegetais brutos (%),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000174,Consumo humano de margarinas (t),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000175,Consumo humano de margarinas per capita (kg/ hab.),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000176,Grau de auto-aprovisionamento de margarinas (%),17-02-2024,Portugal,S7A2022,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000177,Consumo humano de vinho (hl),22-12-2023,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000178,Consumo humano de vinho per capita (l/ hab.),22-12-2023,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000179,Grau de autoaprovisionamento do vinho (%),22-12-2023,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000180,Consumo humano de cereais (t),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000181,Consumo humano de cereais per capita (kg/ hab.),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000182,Grau de autoaprovisionamento de cereais (%),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000183,Grau de autoaprovisionamento de arroz em casca (%),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000184,Grau de autoaprovisionamento de arroz em película (%),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000185,Consumo humano de arroz branqueado e semibranqueado (t),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000186,Consumo humano de arroz branqueado e semibranqueado per capita (kg/ hab.),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000187,Grau de autoaprovisionamento de arroz branqueado e semibranqueado (%),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000188,Consumo humano de trinca de arroz (t),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000189,Consumo humano de trinca de arroz per capita (kg/ hab.),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000190,Grau de autoaprovisionamento de trinca de arroz (%),09-02-2024,Portugal,7A2023_3,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000191,Consumo humano de leguminosas secas (t),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000192,Consumo humano de leguminosas secas per capita (kg/ hab.),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000193,Grau de autoaprovisionamento de leguminosas secas (%),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000194,Consumo humano de batata (t),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000195,Consumo humano de batata per capita (kg/ hab.),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000196,Grau de autoaprovisionamento de batata (%),23-04-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000197,Consumo humano de açúcar (t),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000198,Consumo humano de açúcar per capita (kg/ hab.),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000199,Grau de autoaprovisionamento de açúcar (%),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000200,Grau de autoaprovisionamento de melaços (%),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000201,Consumo humano de mel (t),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000202,Consumo humano de mel per capita (kg/ hab.),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000203,Grau de autoaprovisionamento de mel (%),09-02-2024,Portugal,7A2023_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000204,Consumo humano de hortícolas (t),15-05-2007,Portugal,7A2004_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000205,Consumo humano de hortícolas per capita (kg/ hab.),15-05-2007,Portugal,7A2004_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000206,Grau de autoaprovisionamento de hortícolas (%),15-05-2007,Portugal,7A2004_2,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000207,Consumo humano de hortícolas (tomate - t),15-05-2007,Portugal,7A2004_1,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000208,Consumo humano de hortícolas per capita (tomate - kg/ hab.),15-05-2007,Portugal,7A2004_1,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000209,Grau de autoaprovisionamento de hortícolas (tomate - %),15-05-2007,Portugal,7A2004_1,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000210,Consumo humano de carne (t),25-05-2023,Portugal,S7A2023,Anual,D
"Agricultura, floresta e pescas",Balanços de aprovisionamento,0000211,Consumo humano de carne per capita (kg/ hab.),25-05-2023,Portugal,S7A2023,Anual,D
